id,field,en,es
tut_first_sfx_stage,mechanicText,The stage effects intensify each time the song's Hype crosses a threshold. Each upward crossing also banks a flat Vibe bonus that is paid to every audience member at the end of the song. Higher stages may be locked until unlocked as a run reward.,Los efectos del escenario se intensifican cada vez que el Hype de la canción cruza un umbral. Cada cruce ascendente acumula además un bono fijo de Vibe que se paga a todos los miembros del público al final de la canción. Los niveles superiores pueden estar bloqueados hasta desbloquearse como recompensa de la run.
tut_first_sfx_stage,page_1,The crowd's heating up. The stage reacts as the song's hype climbs. Keep it going for bigger moments.,"¿Lo sientes? El hype sube y hasta el escenario responde: cuando la música aprieta, todo lo que la rodea despierta."
tut_first_sfx_stage,page_2,,Mantenla viva y habrá momentos más grandes.
tut_tracks_by_musician,revisitTitle,One track per musician,Una pista por músico
tut_tracks_by_musician,mechanicText,"The song panel shows one track per musician: drums, keys, bass and voice. A composition card writes to the track of the musician who plays it. Tracks play together as the song; each one holds at most one active card at a time.","El panel de la canción muestra una pista por músico: batería, teclas, bajo y voz. Una carta de composición escribe en la pista del músico que la toca. Las pistas suenan juntas como la canción; cada una contiene como máximo una carta activa a la vez."
tut_tracks_by_musician,page_1,"See the song panel? Every musician gets their own track there: drums set the pulse, keys build the world, bass holds it together, voice is what sticks in your head. Each composition card touches the track of whoever plays it.","¿Ves el panel de la canción? Cada músico tiene ahí su propia pista: la batería marca el pulso, las teclas ponen el mundo, el bajo lo sujeta, la voz es lo que se queda en la cabeza. Cada carta de composición toca la pista de quien la juega."
tut_first_sound_card,revisitTitle,Sound cards,Cartas de sonido
tut_first_sound_card,mechanicText,"A sound card is a composition card that changes a property of the whole song, such as its tempo or its key, instead of adding a part to one track. It does not change any meter by itself.","Una carta de sonido es una carta de composición que cambia una propiedad de toda la canción, como su tempo o su tonalidad, en lugar de añadir una parte a una pista. Por sí sola no modifica ningún medidor."
tut_first_sound_card,page_1,"That card reshaped the music itself: its speed, or its key, not your meters. Sound cards change how the song sounds.","Esa carta no tocó tus medidores: tocó la música misma, su velocidad, su tonalidad."
tut_first_sound_card,page_2,,Las cartas de sonido cambian cómo suena la canción. Es lo más parecido a magia que vas a manejar.
tut_press_play,revisitTitle,Hit Play,Presiona Play
tut_press_play,mechanicText,"The Play button starts the song. Before Play, cards are played during a single preparation period. After Play the song runs in loops; every card played from then on takes effect in the running song without stopping it.","El botón Play inicia la canción. Antes de Play, las cartas se juegan durante un único periodo de preparación. Tras Play, la canción suena en loops; cada carta jugada a partir de entonces surte efecto en la canción en marcha sin detenerla."
tut_press_play,page_1,"Now hit Play. The song will run in a loop, and everything you play from here lands live. No rehearsal. That's how real music gets made.","Ahora dale al Play. La canción sonará en bucle, y todo lo que juegues desde ahora entra en vivo. Sin ensayo. Así se toca de verdad."
tut_loops_structure,revisitTitle,Loops,Loops
tut_loops_structure,mechanicText,"A song lasts {$loops_per_part} loops. Each loop is one play period for the player. The loops bar at the top shows how many loops remain. When the last loop ends, the song ends and its result is applied to the audience.","Una canción dura {$loops_per_part} loops. Cada loop es un periodo de juego para el jugador. La barra de loops de arriba muestra cuántos quedan. Cuando termina el último loop, la canción acaba y su resultado se aplica al público."
tut_loops_structure,page_1,"Each song runs {$loops_per_part} loops, and every loop is a turn. The bar up top shows what's left. When the last loop ends, the song closes, and the bill comes due.","Cada canción dura {$loops_per_part} loops, y cada loop es un turno. La barra de arriba te dice cuántos quedan. Cuando acaba el último loop, la canción se cierra y se cobra."
tut_play_budget,revisitTitle,One play per head,Una jugada por cabeza
tut_play_budget,mechanicText,"This message appears when a play is refused because the musician's budget for the period is spent. Each musician may play one composition card and one action card per period. A period is one loop of the song, or the preparation period before Play. Unspent plays do not carry over; the budget refills at the start of the next period.","Este mensaje aparece cuando una jugada se rechaza porque el presupuesto del músico para el periodo está agotado. Cada músico puede jugar una carta de composición y una carta de acción por periodo. Un periodo es un loop de la canción, o el periodo de preparación anterior a Play. Las jugadas no usadas no se acumulan; el presupuesto se renueva al empezar el siguiente periodo."
tut_play_budget,page_1,"That musician already played. Each of them gets ONE composition and ONE action per loop; whatever's left waits for the next one. Before the song starts, same rule: one and one. Four musicians means four turns inside your turn. Spread them out.","Ese músico ya tocó. Cada uno juega UNA composición y UNA acción por loop; lo que sobra espera al siguiente. Antes de que suene la canción, la misma regla: una y una. Cuatro músicos son cuatro turnos dentro de tu turno. Repártelos."
tut_inspiration_economy,revisitTitle,Inspiration,Inspiración
tut_inspiration_economy,mechanicText,Inspiration is the resource that pays for cards. The player receives {$inspiration_per_loop} Inspiration at the end of each loop. Cards with an Inspiration cost show it on the card and cannot be played without it. Cards with no cost are free.,La Inspiración es el recurso que paga las cartas. El jugador recibe {$inspiration_per_loop} de Inspiración al final de cada loop. Las cartas con coste de Inspiración lo muestran en la carta y no pueden jugarse sin él. Las cartas sin coste son gratuitas.
tut_inspiration_economy,page_1,"See that +{$inspiration_per_loop}? Every loop feeds you {$inspiration_per_loop} Inspiration. Some cards demand it to be played. The good ones, naturally. Save it: one just landed in your hand that's worth it.","¿Ves ese +{$inspiration_per_loop}? Cada loop te da {$inspiration_per_loop} de Inspiración. Algunas cartas la exigen para jugarse. Las buenas, claro. Guárdala: te acaba de llegar a la mano una que la vale."
tut_play_finisher,revisitTitle,Psychic Waves,Psychic Waves
tut_play_finisher,mechanicText,"Psychic Waves is an action card. It costs Inspiration and affects every audience member at once: it reduces their Vibe and applies the Earworm status, which keeps reducing Vibe on the following audience turns. It does not change the song. In this gig the tutorial waits for it to be played on the last loop.","Psychic Waves es una carta de acción. Cuesta Inspiración y afecta a todo el público a la vez: reduce su Vibe y aplica el estado Earworm, que sigue reduciendo Vibe en los siguientes turnos del público. No modifica la canción. En este concierto el tutorial espera a que se juegue en el último loop."
tut_play_finisher,page_1,"Last loop. Time for the closer: PSYCHIC WAVES, an ACTION card. It doesn't touch the song: it hits the WHOLE crowd's mind at once. It costs Inspiration. Play it before the loop ends. Every musician has their own closer; tonight it's Sibi's. The ending is everything.","Último loop. Hora del remate: PSYCHIC WAVES, una carta de ACCIÓN. No toca la canción: golpea la mente de TODO el público a la vez. Cuesta Inspiración. Juégala antes de que acabe el loop. Cada músico tiene su remate; hoy toca el de Sibi. El cierre lo es todo."
tut_play_finisher_early,revisitTitle,Jumped the gun,Te adelantaste
tut_play_finisher_early,mechanicText,This message appears when Psychic Waves was played before the last loop. Nothing is lost: action cards take effect immediately whenever they are played. The tutorial asked for the last loop because composition cards are locked then and action cards are the only plays left.,Este mensaje aparece cuando Psychic Waves se jugó antes del último loop. No se pierde nada: las cartas de acción surten efecto en el momento en que se juegan. El tutorial pedía el último loop porque entonces las cartas de composición están bloqueadas y las de acción son las únicas jugadas posibles.
tut_play_finisher_early,page_1,"Last loop. Now you can play Psychic Wa... What? Were you even listening, rookie? You jumped the gun. Fine: the closer already landed. Next time save it for the ending, when the crowd's mind is at its softest. And remember: every musician has one.","Último loop. Ahora puedes jugar Psychic Wa... ¿Qué? ¿No me estabas escuchando, novato? Te adelantaste. En fin: el remate ya sonó. La próxima vez guárdalo para el cierre, que es cuando la mente del público está más blanda. Y recuerda: cada músico tiene el suyo."
tut_song_end_vibe,revisitTitle,Song's payoff,El pago de la canción
tut_song_end_vibe,mechanicText,"When a song ends, its accumulated Hype converts into Vibe damage applied to each audience member. Each member has a Vibe pool of up to {$audience_hp}; when it reaches zero, that member is convinced. Blocked members receive nothing. If every member is convinced, the gig is won immediately.","Cuando una canción termina, el Hype acumulado se convierte en daño de Vibe que se aplica a cada miembro del público. Cada miembro tiene una reserva de Vibe de hasta {$audience_hp}; cuando llega a cero, ese miembro queda convencido. Los miembros bloqueados no reciben nada. Si todos quedan convencidos, el concierto se gana de inmediato."
tut_song_end_vibe,page_1,"Song's over: all the hype you built converts into Vibe DAMAGE on the crowd. Each of them holds up to {$audience_hp}. Drain it and they're yours: convinced. That's how you win a gig, song by song.","Fin de la canción: todo el hype que construiste se convierte en DAÑO de Vibe contra el público. Cada uno aguanta hasta {$audience_hp}. Vacíasela y es tuyo: convencido. Así se gana un concierto, canción a canción."
tut_audience_turn,revisitTitle,The crowd's turn,Turno del público
tut_audience_turn,mechanicText,"After the player's turn comes the audience turn. Each audience member performs its own action: some reduce a musician's Stress, some move to the front of the crowd, some do nothing. Statuses on audience members also tick during this turn. Then a new player turn begins.","Tras el turno del jugador viene el turno del público. Cada miembro del público realiza su propia acción: algunos reducen el Stress de un músico, otros se mueven al frente del público, otros no hacen nada. Los estados sobre el público también avanzan durante este turno. Después empieza un nuevo turno del jugador."
tut_audience_turn,page_1,"Now it's their turn. Every character in the crowd has their own tricks: some hit your musicians' Stress, their fortitude reserve (at zero, breakdown), and others cover for each other. Watch them before your next turn.","Ahora les toca a ellos. Cada personaje del público tiene sus propias mañas: unos golpean el Stress de tus músicos, su reserva de entereza (a cero, colapso), y otros se cubren entre sí. Míralos bien antes de tu siguiente turno."
tut_status_buff_musician,revisitTitle,Flow,Flow
tut_status_buff_musician,mechanicText,"Flow is a status on a musician, shown as an icon above them. Each stack increases the Vibe produced by that musician's action cards, and band-wide Flow multiplies the Vibe of composition cards and of the song end. It does not decay per turn; it resets when the song ends. Hovering a status icon shows its full description.","Flow es un estado sobre un músico, mostrado como un icono encima de él. Cada acumulación aumenta el Vibe que producen las cartas de acción de ese músico, y el Flow del conjunto de la banda multiplica el Vibe de las cartas de composición y del final de la canción. No decae por turno; se reinicia al terminar la canción. Pasar el cursor sobre un icono de estado muestra su descripción completa."
tut_status_buff_musician,page_1,"See that icon over the musician? That's a status effect, and this one's working for you: FLOW, the musician's on a roll and their music hits harder. Hover it and it tells you exactly what it does. Read them: the band lives on them.","¿Ves ese icono sobre el músico? Es un efecto de estado, y este juega a tu favor: FLOW, el músico está en racha y su música pega más fuerte. Pasa el cursor por encima y te dice exactamente qué hace. Léelos: la banda vive de ellos."
tut_status_debuff_audience,revisitTitle,Effects on the crowd,Efectos sobre el público
tut_status_debuff_audience,mechanicText,"A status has been applied to an audience member, shown as an icon under its portrait. Statuses on the audience act on their own during each audience turn, without further input, until they expire or run out of stacks. Hovering the icon shows what the status does.","Se ha aplicado un estado a un miembro del público, mostrado como un icono bajo su retrato. Los estados sobre el público actúan por su cuenta durante cada turno del público, sin más intervención, hasta que expiran o agotan sus acumulaciones. Pasar el cursor sobre el icono muestra qué hace el estado."
tut_status_debuff_audience,page_1,"You've hung an effect on the crowd: the icon under their portrait. Effects work on their own, turn after turn, no permission needed. Plant them and let the music do the rest.","Le has colgado un efecto al público: el icono bajo su retrato. Los efectos trabajan solos, turno a turno, sin pedir permiso. Plántalos y deja que la música haga el resto."
tut_status_blocked_front,revisitTitle,Blocked,Bloqueado
tut_status_blocked_front,mechanicText,"An audience member has moved to the front and is Blocked. A Blocked member receives no Vibe from cards or from the song end. Blocked is positional, not timed: it is recomputed whenever the audience reorders. Vibe is better spent on unblocked members until the position changes.","Un miembro del público se ha movido al frente y está Bloqueado. Un miembro Bloqueado no recibe Vibe de las cartas ni del final de la canción. Bloqueado depende de la posición, no del tiempo: se recalcula cada vez que el público se reordena. El Vibe rinde más sobre los miembros no bloqueados hasta que cambie la posición."
tut_status_blocked_front,page_1,"The big guy stepped up front and BLOCKED: while it lasts, your Vibe won't get through. Don't waste music on a wall. Wait for the guard to drop, or spend the song on the ones actually listening.","El grandote se ha puesto delante y se ha BLOQUEADO: mientras dure, tu Vibe no le entra. No malgastes música contra un muro. Espera a que baje la guardia, o gasta la canción en los que sí escuchan."
tut_musician_breakdown,revisitTitle,Stress,Stress
tut_musician_breakdown,mechanicText,"A musician's Stress bar is their remaining fortitude. Audience actions reduce it. When it reaches zero the musician breaks down: the band loses one point of Cohesion, the bar refills, and the musician gets the Shaken status. If Cohesion reaches zero, the gig is lost. Some action cards restore or protect fortitude.","La barra de Stress de un músico es su entereza restante. Las acciones del público la reducen. Cuando llega a cero, el músico colapsa: la banda pierde un punto de Cohesión, la barra se rellena y el músico recibe el estado Shaken. Si la Cohesión llega a cero, el concierto se pierde. Algunas cartas de acción recuperan o protegen la entereza."
tut_musician_breakdown,page_1,"Your musician's Stress took a hit. That bar is their fortitude, and it runs out: at zero, they break down and stop playing. Some action cards restore it, or shield it. Take care of your band: no band, no song.","Golpe al Stress de tu músico. Esa barra es su entereza, y se gasta: a cero, colapsa y deja de tocar. Algunas cartas de acción la recuperan, o la protegen. Cuida a tu banda: sin banda no hay canción."
tut_composure,revisitTitle,Composure,Compostura
tut_composure,mechanicText,"Composure is a status on a musician that absorbs incoming Stress damage before it reaches their fortitude. It is applied by dragging the card onto the musician to protect. It lasts until the start of the player's next turn and then clears, whether used or not.","Compostura es un estado sobre un músico que absorbe el daño de Stress entrante antes de que llegue a su entereza. Se aplica arrastrando la carta sobre el músico a proteger. Dura hasta el inicio del siguiente turno del jugador y después desaparece, se haya usado o no."
tut_composure,page_1,"That's COMPOSURE: it soaks Stress damage before it touches your musician's fortitude. You play it by dragging the card onto the musician you want covered. It lasts until your next turn, then it's gone. It's a guard, not armor. Raise it when you see the hit coming.","Eso es COMPOSTURA: absorbe el daño al Stress antes de que toque la entereza de tu músico. Se juega arrastrando la carta sobre el músico que quieres cubrir. Dura hasta tu próximo turno y luego se esfuma. Es una guardia, no una armadura. Súbela cuando veas venir el golpe."
tut_gig_won,revisitTitle,Gig won,Concierto ganado
tut_gig_won,mechanicText,"The gig is won when every audience member is convinced, that is, when every Vibe pool has reached zero. This is checked at the end of each song, before the audience acts. A reward choice follows.","El concierto se gana cuando todos los miembros del público quedan convencidos, es decir, cuando todas las reservas de Vibe han llegado a cero. Se comprueba al final de cada canción, antes de que actúe el público. Después viene una elección de recompensa."
tut_gig_won,page_1,"All of them convinced. Hear that? The silence right after. That's a crowd that belongs to you now. Don't let it go to your head, rookie: it was ONE gig. But it was real music.","Todos convencidos. ¿Oyes eso? El silencio de justo después. Eso es un público que ya es tuyo. No te lo creas demasiado, novato: fue UN concierto. Pero fue música de verdad."
tut_gig_lost,revisitTitle,Gig lost,Concierto perdido
tut_gig_lost,mechanicText,"The gig is lost in two cases: the last song of the gig ends with at least one audience member unconvinced, or the band's Cohesion reaches zero because of musician breakdowns.","El concierto se pierde en dos casos: la última canción del concierto termina con al menos un miembro del público sin convencer, o la Cohesión de la banda llega a cero por colapsos de músicos."
tut_gig_lost,page_1,"It's over and not all of them fell. Happens. Music doesn't forgive weak endings: next time, bank Inspiration for the finish and close it out. Come on, from the top.","Se acabó y no cayeron todos. Pasa. La música no perdona los cierres flojos: la próxima vez guarda Inspiración para el final y remata. Venga, otra vez desde arriba."
tut_first_reward_choice,revisitTitle,Reward,Recompensa
tut_first_reward_choice,mechanicText,"After a won gig, a reward screen offers several cards. Exactly one may be chosen. The chosen card is added to the band's deck and stays for the rest of the run.","Tras un concierto ganado, una pantalla de recompensa ofrece varias cartas. Solo puede elegirse una. La carta elegida se añade al mazo de la banda y se conserva durante el resto de la run."
tut_first_reward_choice,page_1,"You won, rookie, so there's loot. Pick ONE of these cards: it stays in your deck for what's next.","Ganaste, rookie, así que hay botín. Elige UNA de estas cartas: se queda en tu mazo para lo que viene."
tut_first_reward_choice,page_2,Don't grab the shiny one. Grab the one the band is missing. That's how a deck gets built: one choice at a time.,"No agarres la que brilla. Agarra la que le falta a la banda. Un mazo se construye así, elección a elección."
tut_final_loop_lock,revisitTitle,Last loop,Último loop
tut_final_loop_lock,mechanicText,"On the last loop of a song, composition cards can no longer be played: a change made now would have no loop left to sound in. Action cards can still be played. Composition changes must be made on earlier loops.",En el último loop de una canción ya no pueden jugarse cartas de composición: un cambio hecho ahora no tendría ningún loop en el que sonar. Las cartas de acción sí pueden jugarse. Los cambios de composición deben hacerse en loops anteriores.
tut_final_loop_lock,page_1,Last loop: composition's closed. Whatever you'd change now would never sound: there's no next loop to play it. Compositions go early; the last loop is for actions and closers.,Último loop: la composición se cierra. Lo que cambies ahora ya no sonaría: no hay siguiente loop que lo toque. Las composiciones van antes; el último loop es para acciones y remates.
tut_track_replaced,revisitTitle,Track replaced,Pista reemplazada
tut_track_replaced,mechanicText,"Playing a composition card on a track that already has one replaces the previous card. A track holds one card at a time. To add rather than replace, play on a different track or musician.","Jugar una carta de composición en una pista que ya tiene una sustituye a la carta anterior. Una pista contiene una sola carta a la vez. Para añadir en lugar de sustituir, hay que jugar en otra pista u otro músico."
tut_track_replaced,page_1,"Same track, new card: the new one replaces the old. A musician doesn't play two versions of the same thing. To add instead of swap, change the track or the musician.","Misma pista, nueva carta: la nueva pisa a la vieja. Un músico no toca dos versiones de lo mismo. Si quieres sumar en vez de cambiar, cambia de pista o de músico."
tut_earworm_tick,revisitTitle,Earworm,Earworm
tut_earworm_tick,mechanicText,,
tut_earworm_tick,page_1,"EARWORM at work: every crowd turn it drains Vibe on its own, a little less each time, until it fades out. Plant it early and let it ring.","EARWORM trabajando: cada turno del público le quita Vibe por su cuenta, y cada vez un poco menos, hasta apagarse. Plántalo pronto y déjalo sonar."
tut_captivated,revisitTitle,Captivated,Cautivado
tut_captivated,mechanicText,,
tut_captivated,page_1,"CAPTIVATED: that listener only has eyes for you now. While it lasts, every bit of Vibe that reaches them lands amplified. Now's the time to hit there.","CAUTIVADO: ese oyente ya solo os mira a vosotros. Mientras dure, todo el Vibe que le llegue entra amplificado. Ahora es el momento de golpear ahí."
tut_voltage_first,revisitTitle,Voltage,Voltage
tut_voltage_first,mechanicText,,
tut_voltage_first,page_1,"VOLTAGE: the bass is charging up. Every card Conito plays adds one, and it carries over between songs. It doesn't spend itself: it's his currency, and some of his cards demand it. Build it.","VOLTAGE: el bajo carga la batería. Cada carta que juega Conito suma uno, y se guarda entre canciones. No se gasta solo: es su moneda, y hay cartas suyas que la piden. Súbelo."
tut_overload_ready,revisitTitle,Overload ready,Overload listo
tut_overload_ready,mechanicText,,
tut_overload_ready,page_1,"Conito's got Voltage to spare for a closer: OVERLOAD. It costs Voltage, not Inspiration. Decide: spend it now on a solo, or bank it for the next song.","Conito tiene Voltage de sobra para un remate: OVERLOAD. Cuesta Voltage, no Inspiración. Decide: lo gastas ahora en un solo, o lo guardas para la próxima canción."
tut_bonus_loop,revisitTitle,Bonus loop,Loop extra
tut_bonus_loop,mechanicText,,
tut_bonus_loop,page_1,"Bonus loop. The song stretches one more loop, the band ducks down and someone steps up for a solo. That's what Voltage buys: time, and the front of the stage.","Loop extra. La canción se alarga un loop más, la banda se agacha y alguien sale al frente con un solo. Eso es lo que compra el Voltage: tiempo, y el frente del escenario."
tut_spotlight,revisitTitle,Spotlight,Spotlight
tut_spotlight,mechanicText,,
tut_spotlight,page_1,"SPOTLIGHT: C2 stepped under the light. For one turn, anyone in the crowd aiming at a single target aims at him. Use it to choose who takes the hit.","SPOTLIGHT: C2 se ha puesto bajo el foco. Durante un turno, el público que apunta a uno solo le apunta a él. Úsalo para elegir quién recibe el golpe."
tut_read_the_room,revisitTitle,Read the room,Leer la sala
tut_read_the_room,mechanicText,,
tut_read_the_room,page_1,Sibi read the room: now you know what each of them likes. A musician who listens plays better. So do you.,Sibi ha leído la sala: ahora sabes qué le gusta a cada uno del público. Un músico que escucha toca mejor. Tú también.
tut_harmony_track,revisitTitle,Harmony,Armonía
tut_harmony_track,mechanicText,,
tut_harmony_track,page_1,A new track under the voice: HARMONY. Zig doubles up: a second line over Zig's own melody. It's the only track that needs another one beneath it to exist.,Una pista nueva bajo la voz: ARMONÍA. Zig se dobla: una segunda línea sobre su propia melodía. Es la única pista que necesita otra debajo para existir.
tut_harmony_denied,revisitTitle,Harmony needs a melody,Armonía sin melodía
tut_harmony_denied,mechanicText,,
tut_harmony_denied,page_1,Harmony without a melody is nothing. Get Zig's voice into the song first; then double it.,Armonía sin melodía no es nada. Primero la voz de Zig en la canción; luego la doblas.
tut_sung_melody,revisitTitle,Voice,Voz
tut_sung_melody,mechanicText,,
tut_sung_melody,page_1,"What you're hearing is a real voice, not an instrument faking one: Zig sings the melody. It's the most audible thing in the whole band; the crowd notices it before anything else.","Eso que oyes es una voz de verdad, no un instrumento imitándola: Zig canta la melodía. Es lo más audible de toda la banda; el público lo nota antes que nada."
